accuracy,compute_energy,communication_energy,total_energy
0.9151,0.11399999999999998,0.11375699999999997,0.22775699999999993
0.9147,0.0905,0.09479749999999999,0.18529749999999995
0.9147,0.09499999999999999,0.09208899999999999,0.18708899999999998
0.9168,0.133,0.11917399999999999,0.252174
0.9168,0.076,0.08667199999999999,0.16267199999999996
0.9168,0.11399999999999998,0.11375699999999998,0.22775699999999996
0.9176,0.081,0.0839635,0.16496349999999996
0.9162,0.11449999999999998,0.11375699999999998,0.22825699999999996
0.9172,0.081,0.0839635,0.16496349999999999
0.9172,0.0905,0.0785465,0.1690465
0.9185,0.09049999999999998,0.07854649999999999,0.1690465
0.9167,0.10949999999999999,0.10021449999999998,0.20971449999999997
0.9164,0.09999999999999999,0.08938049999999999,0.18938049999999998
0.9162,0.11899999999999998,0.11104849999999998,0.23004849999999993
0.9178,0.13799999999999998,0.1327165,0.27071649999999997
0.9176,0.09999999999999999,0.08938049999999999,0.18938049999999998
0.9169,0.057,0.06500399999999999,0.12200399999999997
0.9154,0.16649999999999998,0.1489675,0.3154675
0.9178,0.11399999999999999,0.097506,0.211506
0.9177,0.07150000000000001,0.07312949999999999,0.14462949999999997
0.9174,0.14750000000000002,0.12729949999999998,0.2747995
0.9173,0.0715,0.0731295,0.14462949999999997
0.9183,0.143,0.13000799999999998,0.273008
0.9167,0.057,0.06500399999999999,0.12200399999999997
0.9194,0.10949999999999997,0.10021449999999998,0.20971449999999997
0.9172,0.133,0.11917399999999999,0.252174
